#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 337 | 0.000004500s | 32 B
                 338 | 0.000004300s | 32 B
                 339 | 0.000004400s | 32 B
                 340 | 0.000003700s | 32 B
                 341 | 0.000004500s | 32 B
                 342 | 0.000003700s | 32 B
                 343 | 0.000019400s | 32 B
                 344 | 0.000004200s | 32 B
                 345 | 0.000004100s | 32 B
                 346 | 0.000004500s | 32 B
                 347 | 0.000004800s | 32 B
                 348 | 0.000005400s | 32 B
                 349 | 0.000005700s | 32 B
                 350 | 0.000004800s | 32 B
                 351 | 0.000005700s | 32 B
                 352 | 0.000004500s | 32 B
                 353 | 0.000004500s | 32 B
                 354 | 0.000005500s | 32 B
                 355 | 0.000005600s | 32 B
                 356 | 0.000004500s | 32 B
                 357 | 0.000016600s | 32 B
                 358 | 0.000005400s | 32 B
                 359 | 0.000005700s | 32 B
                 360 | 0.000005600s | 32 B
                 361 | 0.000005600s | 32 B
                 362 | 0.000004900s | 32 B
                 363 | 0.000004900s | 32 B
                 364 | 0.000004700s | 32 B
                 365 | 0.000004700s | 32 B
                 366 | 0.000003900s | 32 B
                 367 | 0.000004700s | 32 B
                 368 | 0.000004500s | 32 B
                 369 | 0.000004600s | 32 B
                 370 | 0.000004500s | 40 B
                 371 | 0.000006300s | 40 B
                 372 | 0.000004700s | 40 B
                 373 | 0.000006300s | 40 B
                 374 | 0.000005300s | 40 B
                 375 | 0.000004800s | 40 B
                 376 | 0.000004800s | 40 B
                 377 | 0.000004900s | 40 B
                 378 | 0.000006400s | 40 B
                 379 | 0.000006600s | 40 B
                 380 | 0.000004600s | 40 B
                 381 | 0.000006400s | 40 B
                 382 | 0.000006300s | 40 B
                 383 | 0.000006300s | 40 B
                 384 | 0.000005000s | 40 B
                 385 | 0.000005100s | 40 B
                 386 | 0.000009200s | 40 B
                 387 | 0.000006200s | 40 B
                 388 | 0.000005400s | 40 B
                 389 | 0.000005500s | 40 B
                 390 | 0.000005200s | 40 B
                 391 | 0.000006100s | 40 B
                 392 | 0.000005300s | 40 B
                 393 | 0.000005100s | 40 B
                 394 | 0.000005800s | 40 B
                 395 | 0.000006500s | 40 B
                 396 | 0.000005800s | 40 B
                 397 | 0.000005800s | 40 B
                 398 | 0.000006100s | 40 B
                 399 | 0.000006400s | 40 B
                 400 | 0.000005400s | 40 B
                 401 | 0.000005600s | 40 B
                 402 | 0.000006000s | 40 B
                 403 | 0.000006300s | 40 B
                 404 | 0.000005400s | 40 B
                 405 | 0.000006300s | 40 B
                 406 | 0.000006400s | 40 B
                 407 | 0.000006300s | 40 B
                 408 | 0.000004300s | 40 B
                 409 | 0.000007100s | 40 B
                 410 | 0.000006100s | 40 B
                 411 | 0.000006100s | 40 B
                 412 | 0.000005400s | 40 B
                 413 | 0.000005800s | 40 B
                 414 | 0.000005900s | 40 B
                 415 | 0.000005200s | 40 B
                 416 | 0.000004700s | 40 B
                 417 | 0.000004900s | 40 B
                 418 | 0.000006600s | 40 B
                 419 | 0.000004300s | 40 B
                 420 | 0.000004600s | 40 B
                 421 | 0.000004900s | 40 B
                 422 | 0.000006400s | 40 B
                 423 | 0.000004400s | 40 B
                 424 | 0.000004800s | 40 B
                 425 | 0.000005200s | 40 B
                 426 | 0.000004800s | 40 B
                 427 | 0.000005100s | 40 B
                 428 | 0.000004000s | 40 B
                 429 | 0.000005000s | 40 B
                 430 | 0.000005100s | 40 B
                 431 | 0.000005200s | 40 B
                 432 | 0.000005200s | 40 B
                 433 | 0.000005000s | 40 B
                 434 | 0.000004800s | 40 B
                 435 | 0.000005000s | 40 B
                 436 | 0.000004900s | 40 B
                 437 | 0.000004300s | 40 B
                 438 | 0.000005600s | 40 B
                 439 | 0.000005100s | 40 B
                 440 | 0.000004400s | 40 B
                 441 | 0.000005000s | 40 B
                 442 | 0.000004600s | 40 B
                 443 | 0.000005200s | 40 B
                 444 | 0.000005000s | 40 B
                 445 | 0.000005300s | 40 B
                 446 | 0.000005100s | 40 B
                 447 | 0.000005300s | 40 B
                 448 | 0.000004700s | 40 B
                 449 | 0.000004900s | 40 B
                 450 | 0.000004800s | 40 B
                 451 | 0.000005100s | 40 B
                 452 | 0.000005000s | 40 B
                 453 | 0.000005000s | 40 B
                 454 | 0.000005000s | 40 B
                 455 | 0.000005300s | 40 B
                 456 | 0.000004900s | 40 B
                 457 | 0.000005000s | 40 B
                 458 | 0.000004900s | 40 B
                 459 | 0.000005100s | 40 B
                 460 | 0.000005000s | 40 B
                 461 | 0.000005100s | 40 B
                 462 | 0.000005100s | 48 B
                 463 | 0.000005100s | 48 B
                 464 | 0.000004900s | 48 B
                 465 | 0.000005000s | 48 B
                 466 | 0.000005100s | 48 B
                 467 | 0.000004900s | 48 B
                 468 | 0.000005000s | 48 B
                 469 | 0.000005100s | 48 B
                 470 | 0.000005100s | 48 B
                 471 | 0.000005200s | 48 B
                 472 | 0.000005400s | 48 B
                 473 | 0.000005200s | 48 B
                 474 | 0.000005100s | 48 B
                 475 | 0.000005200s | 48 B
                 476 | 0.000005600s | 48 B
                 477 | 0.000005700s | 48 B
                 478 | 0.000005800s | 48 B
                 479 | 0.000005800s | 48 B
                 480 | 0.000005500s | 48 B
                 481 | 0.000005800s | 48 B
                 482 | 0.000005100s | 48 B
                 483 | 0.000005600s | 48 B
                 484 | 0.000005100s | 48 B
                 485 | 0.000005500s | 48 B
                 486 | 0.000005700s | 48 B
                 487 | 0.000005000s | 48 B
                 488 | 0.000004900s | 48 B
