#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 388 | 0.000017900s | 34 B
                 389 | 0.000019000s | 34 B
                 390 | 0.000020100s | 34 B
                 391 | 0.000020000s | 34 B
                 392 | 0.000016900s | 34 B
                 393 | 0.000018400s | 34 B
                 394 | 0.000018100s | 35 B
                 395 | 0.000020000s | 35 B
                 396 | 0.000018400s | 35 B
                 397 | 0.000022900s | 35 B
                 398 | 0.000019100s | 35 B
                 399 | 0.000019400s | 35 B
                 400 | 0.000022000s | 35 B
                 401 | 0.000024500s | 35 B
                 402 | 0.000018000s | 35 B
                 403 | 0.000017700s | 35 B
                 404 | 0.000018100s | 35 B
                 405 | 0.000018800s | 36 B
                 406 | 0.000018700s | 36 B
                 407 | 0.000019500s | 36 B
                 408 | 0.000017900s | 36 B
                 409 | 0.000018900s | 36 B
                 410 | 0.000018400s | 36 B
                 411 | 0.000019200s | 36 B
                 412 | 0.000018200s | 36 B
                 413 | 0.000019200s | 36 B
                 414 | 0.000017800s | 36 B
                 415 | 0.000019900s | 36 B
                 416 | 0.000017600s | 36 B
                 417 | 0.000020600s | 37 B
                 418 | 0.000019400s | 37 B
                 419 | 0.000020200s | 37 B
                 420 | 0.000019500s | 37 B
                 421 | 0.000020000s | 37 B
                 422 | 0.000019900s | 37 B
                 423 | 0.000020500s | 37 B
                 424 | 0.000019400s | 37 B
                 425 | 0.000020900s | 37 B
                 426 | 0.000020400s | 37 B
                 427 | 0.000021000s | 37 B
                 428 | 0.000020100s | 37 B
                 429 | 0.000021100s | 38 B
                 430 | 0.000020300s | 38 B
                 431 | 0.000022300s | 38 B
                 432 | 0.000019500s | 38 B
                 433 | 0.000024800s | 38 B
                 434 | 0.000025500s | 38 B
                 435 | 0.000024200s | 38 B
                 436 | 0.000019900s | 38 B
                 437 | 0.000020800s | 38 B
                 438 | 0.000027300s | 38 B
                 439 | 0.000021100s | 38 B
                 440 | 0.000019600s | 39 B
                 441 | 0.000054500s | 39 B
                 442 | 0.000018000s | 39 B
                 443 | 0.000020800s | 39 B
                 444 | 0.000020700s | 39 B
                 445 | 0.000021200s | 39 B
                 446 | 0.000021000s | 39 B
                 447 | 0.000022000s | 39 B
                 448 | 0.000018900s | 39 B
                 449 | 0.000020300s | 39 B
                 450 | 0.000019800s | 39 B
                 451 | 0.000020700s | 39 B
                 452 | 0.000019900s | 40 B
                 453 | 0.000020500s | 40 B
                 454 | 0.000020200s | 40 B
                 455 | 0.000020100s | 40 B
                 456 | 0.000020200s | 40 B
                 457 | 0.000020800s | 40 B
                 458 | 0.000020600s | 40 B
                 459 | 0.000021600s | 40 B
                 460 | 0.000020600s | 40 B
                 461 | 0.000020200s | 40 B
                 462 | 0.000022400s | 40 B
                 463 | 0.000027000s | 41 B
                 464 | 0.000023200s | 41 B
                 465 | 0.000022500s | 41 B
                 466 | 0.000021800s | 41 B
                 467 | 0.000029500s | 41 B
                 468 | 0.000021000s | 41 B
                 469 | 0.000029000s | 41 B
                 470 | 0.000021300s | 41 B
                 471 | 0.000061000s | 41 B
                 472 | 0.000021000s | 41 B
                 473 | 0.000021400s | 41 B
                 474 | 0.000020900s | 41 B
                 475 | 0.000021600s | 42 B
                 476 | 0.000020900s | 42 B
                 477 | 0.000022100s | 42 B
                 478 | 0.000020300s | 42 B
