#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 626 | 0.000008000s | 64 B
                 627 | 0.000005900s | 64 B
                 628 | 0.000005900s | 64 B
                 629 | 0.000006200s | 64 B
                 630 | 0.000006100s | 64 B
                 631 | 0.000022400s | 64 B
                 632 | 0.000006200s | 64 B
                 633 | 0.000005900s | 64 B
                 634 | 0.000006100s | 64 B
                 635 | 0.000005500s | 64 B
                 636 | 0.000006200s | 64 B
                 637 | 0.000006100s | 64 B
                 638 | 0.000006700s | 64 B
                 639 | 0.000005600s | 64 B
                 640 | 0.000005800s | 64 B
                 641 | 0.000005600s | 64 B
                 642 | 0.000005600s | 64 B
                 643 | 0.000005500s | 64 B
                 644 | 0.000007400s | 64 B
                 645 | 0.000026800s | 64 B
                 646 | 0.000006100s | 64 B
                 647 | 0.000006700s | 64 B
                 648 | 0.000005800s | 64 B
                 649 | 0.000007100s | 64 B
                 650 | 0.000006600s | 64 B
                 651 | 0.000007000s | 64 B
                 652 | 0.000006700s | 64 B
                 653 | 0.000026200s | 64 B
                 654 | 0.000005900s | 64 B
                 655 | 0.000005800s | 64 B
                 656 | 0.000005800s | 64 B
                 657 | 0.000006800s | 64 B
                 658 | 0.000005700s | 64 B
                 659 | 0.000006400s | 64 B
                 660 | 0.000006100s | 64 B
                 661 | 0.000006100s | 64 B
                 662 | 0.000006800s | 64 B
                 663 | 0.000006000s | 64 B
                 664 | 0.000005900s | 64 B
                 665 | 0.000006400s | 64 B
                 666 | 0.000006600s | 64 B
                 667 | 0.000006300s | 64 B
                 668 | 0.000006000s | 64 B
                 669 | 0.000006300s | 64 B
                 670 | 0.000006300s | 64 B
                 671 | 0.000006300s | 64 B
                 672 | 0.000009700s | 64 B
                 673 | 0.000006600s | 64 B
                 674 | 0.000006400s | 64 B
                 675 | 0.000006400s | 64 B
                 676 | 0.000005800s | 64 B
                 677 | 0.000006800s | 64 B
                 678 | 0.000006500s | 64 B
                 679 | 0.000022100s | 64 B
                 680 | 0.000006100s | 64 B
                 681 | 0.000006200s | 64 B
                 682 | 0.000006200s | 64 B
                 683 | 0.000006400s | 64 B
                 684 | 0.000006400s | 64 B
                 685 | 0.000006000s | 64 B
                 686 | 0.000006700s | 64 B
                 687 | 0.000006600s | 64 B
                 688 | 0.000006200s | 64 B
                 689 | 0.000006500s | 64 B
                 690 | 0.000006800s | 64 B
                 691 | 0.000006700s | 64 B
                 692 | 0.000007000s | 64 B
                 693 | 0.000006600s | 64 B
                 694 | 0.000006800s | 64 B
                 695 | 0.000007300s | 64 B
                 696 | 0.000007000s | 64 B
                 697 | 0.000006700s | 64 B
                 698 | 0.000006900s | 64 B
                 699 | 0.000006700s | 64 B
                 700 | 0.000006800s | 64 B
                 701 | 0.000007100s | 64 B
                 702 | 0.000023100s | 64 B
                 703 | 0.000006700s | 64 B
                 704 | 0.000006800s | 64 B
                 705 | 0.000007200s | 64 B
                 706 | 0.000006700s | 64 B
                 707 | 0.000006700s | 64 B
                 708 | 0.000006800s | 64 B
                 709 | 0.000006700s | 64 B
                 710 | 0.000006400s | 64 B
                 711 | 0.000006800s | 64 B
                 712 | 0.000006900s | 64 B
                 713 | 0.000006700s | 64 B
                 714 | 0.000006700s | 64 B
                 715 | 0.000006800s | 64 B
                 716 | 0.000006800s | 64 B
                 717 | 0.000008700s | 64 B
                 718 | 0.000009300s | 64 B
                 719 | 0.000022600s | 64 B
                 720 | 0.000007800s | 64 B
                 721 | 0.000007800s | 64 B
                 722 | 0.000007700s | 64 B
                 723 | 0.000007700s | 64 B
                 724 | 0.000007800s | 64 B
                 725 | 0.000007800s | 64 B
                 726 | 0.000007900s | 64 B
                 727 | 0.000007900s | 64 B
                1141 | 0.000015000s | 112 B
                1555 | 0.000026200s | 144 B
                1969 | 0.000033100s | 176 B
                2383 | 0.000035800s | 208 B
                2797 | 0.000081500s | 256 B
                3211 | 0.000127200s | 288 B
                3625 | 0.000113600s | 320 B
                4039 | 0.000143500s | 352 B
                4453 | 0.000159900s | 400 B
                4867 | 0.000184900s | 432 B
                5281 | 0.000271500s | 464 B
                5695 | 0.000226000s | 496 B
                6109 | 0.000285600s | 544 B
                6523 | 0.000454400s | 576 B
                6937 | 0.000361600s | 608 B
                7351 | 0.000592600s | 640 B
                7765 | 0.000496400s | 688 B
                8179 | 0.000470700s | 720 B
                8593 | 0.000570400s | 752 B
                9007 | 0.000660000s | 784 B
                9421 | 0.000635100s | 832 B
                9835 | 0.000880300s | 864 B
               10249 | 0.000968900s | 896 B
               10663 | 0.000819900s | 928 B
               11077 | 0.001062100s | 976 B
               11491 | 0.000876900s | 1008 B
               11905 | 0.001211400s | 1040 B
               12319 | 0.001319600s | 1072 B
               12733 | 0.001146900s | 1120 B
               13147 | 0.001239200s | 1152 B
               13561 | 0.001252600s | 1184 B
               13975 | 0.001756700s | 1216 B
               14389 | 0.001427100s | 1264 B
               14803 | 0.001863400s | 1296 B
               15217 | 0.001833300s | 1328 B
               15631 | 0.001939200s | 1360 B
               16045 | 0.002176500s | 1408 B
               16459 | 0.002208300s | 1440 B
               16873 | 0.002269700s | 1472 B
