#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 354 | 0.000002100s | 31 B
                 355 | 0.000002300s | 31 B
                 356 | 0.000002400s | 31 B
                 357 | 0.000002700s | 31 B
                 358 | 0.000002400s | 31 B
                 359 | 0.000002400s | 32 B
                 360 | 0.000002200s | 32 B
                 361 | 0.000002400s | 32 B
                 362 | 0.000002200s | 32 B
                 363 | 0.000002300s | 32 B
                 364 | 0.000002100s | 32 B
                 365 | 0.000002300s | 32 B
                 366 | 0.000002300s | 32 B
                 367 | 0.000002800s | 32 B
                 368 | 0.000002400s | 32 B
                 369 | 0.000002600s | 32 B
                 370 | 0.000002100s | 32 B
                 371 | 0.000002800s | 33 B
                 372 | 0.000002300s | 33 B
                 373 | 0.000009100s | 33 B
                 374 | 0.000002300s | 33 B
                 375 | 0.000002400s | 33 B
                 376 | 0.000002600s | 33 B
                 377 | 0.000002800s | 33 B
                 378 | 0.000002900s | 33 B
                 379 | 0.000002800s | 33 B
                 380 | 0.000002500s | 33 B
                 381 | 0.000002300s | 33 B
                 382 | 0.000002100s | 34 B
                 383 | 0.000002400s | 34 B
                 384 | 0.000002200s | 34 B
                 385 | 0.000002700s | 34 B
                 386 | 0.000002200s | 34 B
                 387 | 0.000002400s | 34 B
                 388 | 0.000002200s | 34 B
                 389 | 0.000002200s | 34 B
                 390 | 0.000002200s | 34 B
                 391 | 0.000002300s | 34 B
                 392 | 0.000002500s | 34 B
                 393 | 0.000002700s | 34 B
                 394 | 0.000002100s | 35 B
                 395 | 0.000002300s | 35 B
                 396 | 0.000002200s | 35 B
                 397 | 0.000002300s | 35 B
                 398 | 0.000002200s | 35 B
                 399 | 0.000002400s | 35 B
                 400 | 0.000002200s | 35 B
                 401 | 0.000003100s | 35 B
                 402 | 0.000002500s | 35 B
                 403 | 0.000003100s | 35 B
                 404 | 0.000003200s | 35 B
                 405 | 0.000002600s | 36 B
                 406 | 0.000002200s | 36 B
                 407 | 0.000002500s | 36 B
                 408 | 0.000002200s | 36 B
                 409 | 0.000002400s | 36 B
                 410 | 0.000002200s | 36 B
                 411 | 0.000002700s | 36 B
                 412 | 0.000002600s | 36 B
                 413 | 0.000002300s | 36 B
                 414 | 0.000002300s | 36 B
                 415 | 0.000002400s | 36 B
                 416 | 0.000002100s | 36 B
                 417 | 0.000002400s | 37 B
                 418 | 0.000002300s | 37 B
                 419 | 0.000002500s | 37 B
                 420 | 0.000002300s | 37 B
                 421 | 0.000002700s | 37 B
                 422 | 0.000002600s | 37 B
                 423 | 0.000002600s | 37 B
                 424 | 0.000002400s | 37 B
                 425 | 0.000002400s | 37 B
                 426 | 0.000002300s | 37 B
                 427 | 0.000002400s | 37 B
                 428 | 0.000002300s | 37 B
                 429 | 0.000002400s | 38 B
                 430 | 0.000002300s | 38 B
                 431 | 0.000002700s | 38 B
                 432 | 0.000002600s | 38 B
                 433 | 0.000002400s | 38 B
                 434 | 0.000002300s | 38 B
                 435 | 0.000007100s | 38 B
                 436 | 0.000002200s | 38 B
                 437 | 0.000002300s | 38 B
                 438 | 0.000002300s | 38 B
                 439 | 0.000002400s | 38 B
                 440 | 0.000002200s | 39 B
                 441 | 0.000003100s | 39 B
                 442 | 0.000002700s | 39 B
                 443 | 0.000002800s | 39 B
                 444 | 0.000002700s | 39 B
                 445 | 0.000002300s | 39 B
                 446 | 0.000002200s | 39 B
                 447 | 0.000002400s | 39 B
                 448 | 0.000002300s | 39 B
                 449 | 0.000002300s | 39 B
                 450 | 0.000002100s | 39 B
                 451 | 0.000002400s | 39 B
                 452 | 0.000003000s | 40 B
                 453 | 0.000002700s | 40 B
                 454 | 0.000002600s | 40 B
                 455 | 0.000002700s | 40 B
                 456 | 0.000002200s | 40 B
                 457 | 0.000002400s | 40 B
                 458 | 0.000002200s | 40 B
                 459 | 0.000002300s | 40 B
                 460 | 0.000002100s | 40 B
                 461 | 0.000002300s | 40 B
                 462 | 0.000002700s | 40 B
                 463 | 0.000003000s | 41 B
                 464 | 0.000002200s | 41 B
                 465 | 0.000003000s | 41 B
                 466 | 0.000002400s | 41 B
                 467 | 0.000002700s | 41 B
                 468 | 0.000002400s | 41 B
                 469 | 0.000002600s | 41 B
                 470 | 0.000002600s | 41 B
                 471 | 0.000003000s | 41 B
                 472 | 0.000002700s | 41 B
                 473 | 0.000002600s | 41 B
                 474 | 0.000002200s | 41 B
                 475 | 0.000002600s | 42 B
                 476 | 0.000002300s | 42 B
